case_id,fixture_id,scenario_type,description,hard_constraint_pass,fixture_expectation_score,inventory_correct,shopping_list_correct,trajectory_pass,failure_recovery_applicable,failure_recovery_pass,overall_case_pass,latency_ms,model_calls,tool_calls,retry_count,token_usage,error,langsmith_trace_id,langsmith_trace_url,run_version,fixture_expectation_checks,guardrail_violations
PTP-002,02_sparse_chinese_fallback,edge_case,"Nearly empty pantry, Chinese cuisine, 5 days, nutritional goal. Only 4 Chinese recipes fall in the 375-525 band, so day 5 must fall back to closest calorie.",True,1.0,True,True,True,True,True,True,48.223,0,5,0,,,01a09df2-1be6-7182-8d68-96d53b48d629,https://smith.langchain.com/o/d73d37d3-23d2-4bee-99db-9a8a59d82020/projects/p/9f83b654-d7f6-4c14-a5d0-b0e336273309/r/01a09df2-1be6-7182-8d68-96d53b48d629?poll=true,baseline-deterministic-v1,"{""all_cuisine_match"": true, ""at_least_one_fallback"": true, ""days_returned"": true, ""low_pantry_coverage"": true}","{""invalid_recipe_ids_materialized"": 0, ""invalid_shopping_list_quantities"": 0, ""negative_inventory_events"": 0, ""unreported_hard_constraint_failures"": 0, ""vegetarian_violations"": 0}"
PTP-003,03_tight_band_indian,edge_case,"Indian cuisine, low 350 target with nutritional goal (tight 275-425 band), 4 days. No Indian recipe sits inside 275-425, so every day is an out-of-band flagged pick.",True,1.0,True,True,True,False,True,True,8.98,0,4,0,,,01a09df2-1c4b-7e20-87ee-6ad6ba39c9b2,https://smith.langchain.com/o/d73d37d3-23d2-4bee-99db-9a8a59d82020/projects/p/9f83b654-d7f6-4c14-a5d0-b0e336273309/r/01a09df2-1c4b-7e20-87ee-6ad6ba39c9b2?poll=true,baseline-deterministic-v1,"{""all_cuisine_match"": true, ""all_within_calorie_band"": true, ""days_returned"": true, ""every_day_flagged_out_of_band"": true}","{""invalid_recipe_ids_materialized"": 0, ""invalid_shopping_list_quantities"": 0, ""negative_inventory_events"": 0, ""unreported_hard_constraint_failures"": 0, ""vegetarian_violations"": 0}"
PTP-004,04_veg_exhaustion_american,edge_case,"Sparse pantry, American cuisine, vegetarian required, 7 days requested but only 6 eligible vegetarian American recipes exist.",True,1.0,True,True,True,True,True,True,12.638,0,7,0,,,01a09df2-1c9a-7720-9f14-5df027e58072,https://smith.langchain.com/o/d73d37d3-23d2-4bee-99db-9a8a59d82020/projects/p/9f83b654-d7f6-4c14-a5d0-b0e336273309/r/01a09df2-1c9a-7720-9f14-5df027e58072?poll=true,baseline-deterministic-v1,"{""all_vegetarian"": true, ""days_returned"": true, ""no_non_vegetarian_selected"": true, ""reports_constraint_prevented_completion"": true}","{""invalid_recipe_ids_materialized"": 0, ""invalid_shopping_list_quantities"": 0, ""negative_inventory_events"": 0, ""unreported_hard_constraint_failures"": 0, ""vegetarian_violations"": 0}"
PTP-005,05_empty_pantry_italian,edge_case,"Completely empty pantry, Italian, 3 days. Extreme sparse edge: coverage is 0 everywhere, everything lands on the shopping list.",True,1.0,True,True,True,True,True,True,5.952,0,3,0,,,01a09df2-1c85-7512-b2e4-47a157d6cf64,https://smith.langchain.com/o/d73d37d3-23d2-4bee-99db-9a8a59d82020/projects/p/9f83b654-d7f6-4c14-a5d0-b0e336273309/r/01a09df2-1c85-7512-b2e4-47a157d6cf64?poll=true,baseline-deterministic-v1,"{""all_cuisine_match"": true, ""all_pantry_coverage_zero"": true, ""days_returned"": true, ""low_pantry_coverage"": true}","{""invalid_recipe_ids_materialized"": 0, ""invalid_shopping_list_quantities"": 0, ""negative_inventory_events"": 0, ""unreported_hard_constraint_failures"": 0, ""vegetarian_violations"": 0}"
PTP-006,06_well_stocked_omnivore_italian,happy_path,"Well-stocked pantry for hearty Italian dinners; 700 kcal, 4 days, no dietary restriction.",True,1.0,True,True,True,False,True,True,8.167,0,4,0,,,01a09df2-1bcd-7960-b55b-741c9d0a1e25,https://smith.langchain.com/o/d73d37d3-23d2-4bee-99db-9a8a59d82020/projects/p/9f83b654-d7f6-4c14-a5d0-b0e336273309/r/01a09df2-1bcd-7960-b55b-741c9d0a1e25?poll=true,baseline-deterministic-v1,"{""all_cuisine_match"": true, ""days_returned"": true, ""high_pantry_coverage"": true}","{""invalid_recipe_ids_materialized"": 0, ""invalid_shopping_list_quantities"": 0, ""negative_inventory_events"": 0, ""unreported_hard_constraint_failures"": 0, ""vegetarian_violations"": 0}"
PTP-007,07_well_stocked_indian_veg,happy_path,"Well-stocked pantry for vegetarian Indian dinners; 500 kcal, 5 days, vegetarian required.",True,1.0,True,True,True,False,True,True,10.021,0,5,0,,,01a09df2-1b64-73d2-a9ee-2708ab82fdb5,https://smith.langchain.com/o/d73d37d3-23d2-4bee-99db-9a8a59d82020/projects/p/9f83b654-d7f6-4c14-a5d0-b0e336273309/r/01a09df2-1b64-73d2-a9ee-2708ab82fdb5?poll=true,baseline-deterministic-v1,"{""all_cuisine_match"": true, ""all_vegetarian"": true, ""all_within_calorie_band"": true, ""days_returned"": true}","{""invalid_recipe_ids_materialized"": 0, ""invalid_shopping_list_quantities"": 0, ""negative_inventory_events"": 0, ""unreported_hard_constraint_failures"": 0, ""vegetarian_violations"": 0}"
PTP-008,08_well_stocked_chinese_omnivore,happy_path,"Well-stocked pantry for Chinese dinners; 600 kcal, 4 days.",True,1.0,True,True,True,False,True,True,8.119,0,4,0,,,01a09df2-1cda-7cd3-85c4-33e5d6f1fff0,https://smith.langchain.com/o/d73d37d3-23d2-4bee-99db-9a8a59d82020/projects/p/9f83b654-d7f6-4c14-a5d0-b0e336273309/r/01a09df2-1cda-7cd3-85c4-33e5d6f1fff0?poll=true,baseline-deterministic-v1,"{""all_cuisine_match"": true, ""days_returned"": true, ""high_pantry_coverage"": true}","{""invalid_recipe_ids_materialized"": 0, ""invalid_shopping_list_quantities"": 0, ""negative_inventory_events"": 0, ""unreported_hard_constraint_failures"": 0, ""vegetarian_violations"": 0}"
PTP-009,09_well_stocked_american_veg,happy_path,"Well-stocked pantry for vegetarian American dinners; 550 kcal, 4 days, vegetarian required.",True,1.0,True,True,True,False,True,True,8.377,0,4,0,,,01a09df2-1ba3-7370-8f25-cdeb9f457deb,https://smith.langchain.com/o/d73d37d3-23d2-4bee-99db-9a8a59d82020/projects/p/9f83b654-d7f6-4c14-a5d0-b0e336273309/r/01a09df2-1ba3-7370-8f25-cdeb9f457deb?poll=true,baseline-deterministic-v1,"{""all_cuisine_match"": true, ""all_vegetarian"": true, ""all_within_calorie_band"": true, ""days_returned"": true}","{""invalid_recipe_ids_materialized"": 0, ""invalid_shopping_list_quantities"": 0, ""negative_inventory_events"": 0, ""unreported_hard_constraint_failures"": 0, ""vegetarian_violations"": 0}"
PTP-010,10_multi_cuisine_italian_indian,happy_path,"Two cuisine preferences (Italian + Indian), vegetarian, 550 kcal, 5 days. Exercises multiple cuisine tags at once.",True,1.0,True,True,True,False,True,True,10.02,0,5,0,,,01a09df2-1b92-7693-99b7-da3171f88732,https://smith.langchain.com/o/d73d37d3-23d2-4bee-99db-9a8a59d82020/projects/p/9f83b654-d7f6-4c14-a5d0-b0e336273309/r/01a09df2-1b92-7693-99b7-da3171f88732?poll=true,baseline-deterministic-v1,"{""all_cuisine_match"": true, ""all_vegetarian"": true, ""days_returned"": true}","{""invalid_recipe_ids_materialized"": 0, ""invalid_shopping_list_quantities"": 0, ""negative_inventory_events"": 0, ""unreported_hard_constraint_failures"": 0, ""vegetarian_violations"": 0}"
PTP-011,11_narrow_band_american_exact,edge_case,"American, 700 target with nutritional goal (625-775 band), 2 days. Cheeseburger hits 700 exactly (delta 0); mac and cheese (650) is also in band, so both days stay in band with no fallback.",True,1.0,True,True,True,False,True,True,4.581,0,2,0,,,01a09df2-1b7b-7132-afdf-da7778d8af21,https://smith.langchain.com/o/d73d37d3-23d2-4bee-99db-9a8a59d82020/projects/p/9f83b654-d7f6-4c14-a5d0-b0e336273309/r/01a09df2-1b7b-7132-afdf-da7778d8af21?poll=true,baseline-deterministic-v1,"{""all_cuisine_match"": true, ""all_within_calorie_band"": true, ""days_returned"": true, ""exact_calorie_match_day_exists"": true, ""fallback_flags"": true}","{""invalid_recipe_ids_materialized"": 0, ""invalid_shopping_list_quantities"": 0, ""negative_inventory_events"": 0, ""unreported_hard_constraint_failures"": 0, ""vegetarian_violations"": 0}"
